id,name,x,y,location_description,comments
79,taxa_inventory__79,165.360198346898,-21.32967710495,"Poya, transversale Ouendji-Nerin",Petite galerie forestière juste avant Nerin. 
80,taxa_inventory__80,165.374775,-21.332625,"Poya, transversale Ouendji-nerin, après la tribu de Nérin, Mwa Eé",Patch forestier le long d'un creek. présence de marais à proximité. présence de bétails.
82,taxa_inventory__82,165.056937,-21.353373,Néoni,Forêt sèche
83,taxa_inventory__83,165.065026,-21.366179,Néoni,Forêt sèche
81,taxa_inventory__81,165.095687,-21.352837,Népoui,Forêt sèche
84,taxa_inventory__84,165.089928,-21.369797,Néoni,Forêt sèche
85,taxa_inventory__85,165.061506,-21.315749,Néoni,Forêt sèche
86,taxa_inventory__86,165.006885,-21.297049,Népoui,Forêt sèche
87,taxa_inventory__87,165.01393,-21.301951,Népoui,Forêt sèche
88,taxa_inventory__88,164.942395,-21.286071,"Népoui, Montagnes Blanches",Forêt sèche
89,taxa_inventory__89,164.446196,-20.287297,"Pouebo, Balade",Forêt sèche
90,taxa_inventory__90,164.455761,-20.285779,"Pouebo, Ballade",Forêt sèche
91,taxa_inventory__91,166.011448,-21.97927,"Boulouparis, Leprédour",Forêt sèche
92,taxa_inventory__92,165.077224,-21.321421,"Poya, Creek Hervouët",Forêt mésophile
93,taxa_inventory__93,165.077224,-21.321421,"Pouembout, Pindaï, Propriété Martinetti",
95,taxa_inventory__95,164.961621,-21.344843,"Pouembout, Pindaï",Forêt sèche
94,taxa_inventory__94,164.949635379016,-21.2943685054779,"Pouembout, Pindaï",Forêt sèche
96,taxa_inventory__96,164.949052,-21.305089,"Pouembout, Pindaï",Forêt sèche
98,taxa_inventory__98,164.949842,-21.32835,"Pouembout, Pindaï",Forêt sèche
99,taxa_inventory__99,164.944286,-21.325824,"Pouembout, Pindaï",Forêt sèche
102,taxa_inventory__102,165.459069,-21.658835,"Bourail, île verte",Forêt sèche
103,taxa_inventory__103,165.73255787,-21.37850015,"Houailou, wé kori",forêt en mutation naturelle. des Niaoulis dans la forêt. 
97,taxa_inventory__97,164.960816,-21.313166,"Pouembout, Pindaï",Forêt sèche
100,taxa_inventory__100,164.973158,-21.3197,"Pouembout, Pindaï",Forêt sèche
104,taxa_inventory__104,164.96389,-21.26204,"Pouembout, Pic aux hirondelles",Forêt sèche/maquis
106,taxa_inventory__106,165.198337,-21.313101,"Poya, Nekliai, Kaaru","Formation forestière haute (canopée à 20m) assez homogène, essentiellement des bancouliers et des  bois noirs (Albizia saman). sous bois quasi inexistant, herbacé. "
108,taxa_inventory__108,167.960696847777,-21.4583703218804,"Mare, Limite","pour ce point je souhaiterai ajouter : 

Acalypha	grandis
Schefflera	gabriellae
"
109,taxa_inventory__109,167.871635669642,-21.4910334866426,"Mare, Nece, Tadurem",Inventaires taxonomiques sur parcelle 20mx20m
118,taxa_inventory__118,164.423781512305,-20.3165155649185,"Ouegoa, route du col d'amos","végétation rivulaire dans un patch forestier , proche de la lisière. "
119,taxa_inventory__119,164.443568168208,-20.3069239854813,"Ouegoa, Bwaté, sentier suivant la crète après l'antenne",lisière de forêt. pas de transition entre la forêt et la savane buissonnante. 
101,taxa_inventory__101,166.460018,-22.259073,"Nouméa, Parc zoologique forestier",Forêt sèche
123,taxa_inventory__123,165.218487437814,-20.8171015977859,"Touho, captage de la ponandou","Forêt rivulaire bien conservé, canopée de 15-20m, sous-bois dense, litière présente au sol. "
124,taxa_inventory__124,165.248135654256,-20.8181610703468,"Touho, embouchure de la Ponandou",Forêt d'arrière mangrove. 
113,taxa_inventory__113,165.32773565501,-21.3931381702423,"Poya, Rivière Yomaa",
112,taxa_inventory__112,165.32664751634,-21.3935726881027,"Poya, Rivière Yomaa",Petit îlot végétal au milieu du cours d'eau
105,taxa_inventory__105,164.730337969959,-20.9264230728149,"Voh, Tiéta",
107,taxa_inventory__107,164.725552909076,-20.9304678440094,"Voh, Tiéta",
115,taxa_inventory__115,165.145582733676,-21.1927798390388,"Ponérihouen, Tchidogo",
114,taxa_inventory__114,165.155795328319,-21.2009847164154,"Ponérihouen, Creek Oua Méni",
116,taxa_inventory__116,165.147597072646,-21.192634999752,"Ponérihouen, Piste minière Tchidogo",Piste en venant de Ouaté
121,taxa_inventory__121,165.157167,-21.2150667,"Ponérihouen, Grand Boulinda (880m)",Parcelle faite en présence d'Aldo et Allan NAOUNA
122,taxa_inventory__122,165.944457650185,-21.6440534591675,"La Foa, avant Oui-Poin","Creek avant la bifurcation vers la tribu de Koindé, La Foa"
132,taxa_inventory__132,166.55629,-22.08811,"Mine Soleil, refuge du GR sud (commune de Dumbéa)","Forêt d'altitude se transformant progressivement en forêt à mousse. Roches péridotitiques, substrat ferrallitique ferritique. Canopée à environ 10 m"
129,taxa_inventory__129,165.157654937357,-21.2145513296127,"Ponérihouen, Grand Boulinda, (890m)",
130,taxa_inventory__130,165.112266596407,-21.1706811189652,"Pouembout, Ouaté",
131,taxa_inventory__131,166.55121,-22.09739,"Dumbéa, affluent de la branche Nord de la Dumbéa","Forêt de moyenne altitude (environ 600 m), sur blocs de péridotites, substrat ferrallitique ferritique. Canopée environ 15 m. Avec Tom Hattermann"
133,taxa_inventory__133,166.493376,-22.210077,Yahoué (Mont-Dore),Forêt mésophile très perturbée sur volcano-sedimentaire. Habitation à proximité et champs de taro présents dans la forêt. Bien envahi par le Cedrela et par un Acacia à epine.
134,taxa_inventory__134,165.773882,-21.602725,Pic Vincent (Farino),Forêt dense humide sur volcano-sedimentaire.
135,taxa_inventory__135,165.806308,-21.665704,Sarraméa,Petit Talweg forestier en bord de route. Assez dégradé.
137,taxa_inventory__137,164.981767,-21.136815,"Pouembout, GDPL de Ouaté, Coundi (Georep)","Le long de la rivière, Forêt complètement dominée par les jamelonier (en nb d'individus). Canopée haute de 20m, pas de sous-bois. Betails à proximité"
138,taxa_inventory__138,165.004123,-21.081768,"Pouembout, Tamaon,roche calcaire",Forêt de basse altitude. en thalweg forestier près d'un creek asséché.
139,taxa_inventory__139,165.525943692774,-21.2947332859039,"Houailou, Gwâ Wanaa, captage de Nessa kouya","Forêt rivulaire encaissée peu large. canopée haute de 25m, stratification verticale (émergent, canopée, sous-canopée et sous-bois). bonne régénération.  "
136,taxa_inventory__136,164.958484,-21.174648,"Pouembout, Pic tiaoué, reserve de chasse de Baco","flan du PicTiaoué, reserve de chasse de Baco. Zone pauvre à canopée très basse sans stratification. sur  pente"
140,taxa_inventory__140,165.010641,-20.852822,"Poindimié, Bopope, KËtédalu, rivière Oupo (clovis)","forêt dense humide, bonne stratification, mozaique de différent faciès forestier : faciès à codia, faciès à niaouli, faciès à Gymnostoma, faciès rivulaire."
141,taxa_inventory__141,165.010152217001,-20.8510959148407,"Poindimié, Bopope, KËtédalu, rivière Oupo (clovis)",Jonction de trois rivière et début d'une crète à carpolepis. Mosaique de différent faciès de forêt.
142,taxa_inventory__142,164.91462,-20.990265,"Koohné, Tribu de tiaoué, derrière l'ancien captage",Forêt de basse altitude en mutation invasive. présence de fausse agave à proximité. Gros bloc de serpentine au milieu de la forêt. 
143,taxa_inventory__143,164.90855,-20.981432,"Koohné, tribu de tiaoué, crète entre tiaoué et panaky. ",lisière de forêt humide. 
145,taxa_inventory__145,164.36883780174,-20.4381161928177,"Ouegoa, route koumac-Ouegoa","lambeau forestier relictuelle le long de la route entre koumac et ouegoa. forêt assez claire, bordé par de grandes savanes à Niaouli. Passage de bétails visible. Accompagné de Christophe (BGN Koumac)"
146,taxa_inventory__146,164.364932714961,-20.4369923472404,"Ouegoa, route koumac-Ouegoa",forêt relictuelle très étroite le long d'un creek. entourée de savane à Niaouli.
148,taxa_inventory__148,165.43193763122,-21.5789777040482,"Bourail, Gouaro",
149,taxa_inventory__149,165.441743787378,-21.5821588039398,"Bourail, Gopéa",
147,taxa_inventory__147,165.430226549506,-21.579487323761,"Bourail, Gouaro",
152,taxa_inventory__152,165.979129895568,-21.6786861419678,"La Foa, Ouipoin, Amont GRnc1.",Forêt dense humide sur volcano-sédimentaire
153,taxa_inventory__153,165.974280461669,-21.6758108139038,"La Foa, Ouipoin, amont du GRNC1",ligne de crête colonisée par la forêt
